Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,AAAAAAAAAAAAAAAAAAAAAAAA,TAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAT,TAAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
20,4,51,51,0,0,51,122,0,13613,4600,2300,21,0,0,0,0,0,8,1,0,1641.65,0.464037,0,0,0,51,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,49,53,0,0,53,130,0,13515,4000,2000,20,0,0,0,0,0,6,4,0,1739.65,0.344526,0,0,0,53,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,51,50,0,0,50,129,0,13990,3000,1500,13,0,0,0,0,0,6,1,0,1707.22,0.518721,0,0,0,50,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,50,61,0,0,61,109,0,13955,4400,2200,17,0,0,0,0,0,8,0,0,1742.22,0.395602,0,0,0,61,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,51,45,0,0,45,105,0,14000,3400,1700,16,0,0,0,0,0,2,4,0,1697.22,0.356881,0,0,0,45,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,49,48,0,0,48,117,0,13999,3000,1500,15,0,0,0,0,0,3,2,0,1698.22,0.434913,0,0,0,48,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,51,46,0,0,46,115,0,14398,4000,2000,20,0,0,0,0,0,4,1,0,1725.85,0.569074,0,0,0,46,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,50,51,0,0,51,97,0,14347,3600,1800,17,0,0,0,0,0,6,4,0,1776.85,0.39596,0,0,0,51,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,51,40,0,0,40,97,0,14416,2000,1000,10,0,0,0,0,0,4,1,0,1707.85,0.499183,0,0,0,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,49,41,0,0,41,109,0,14415,3400,1700,16,0,0,0,0,0,5,1,0,1708.85,0.566074,0,0,0,41,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,51,39,0,0,39,105,228,14513,2600,1300,13,0,0,0,0,0,6,1,0,2022.1,0.431462,0,0,0,39,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,50,42,0,0,42,90,210,14576,2600,1300,13,0,0,0,0,0,9,0,0,1959.1,0.493569,0,0,0,42,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,51,36,0,0,36,88,228,14531,3400,1700,16,0,0,0,0,0,2,2,0,2004.1,0.853924,0,0,0,36,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,49,35,0,0,35,101,211,14517,2400,1200,11,0,0,0,0,0,5,1,0,2018.1,0.502602,0,0,0,35,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,51,35,0,0,35,92,308,15090,2400,1200,12,0,0,0,0,0,4,0,0,1841.53,0.777731,0,0,0,35,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
