Time,NodeID,NodePopulation,InterventionName,FractionHas,AvgNumberOfInterventions,AvgEfficacy-Attracting,AvgEfficacy-Repelling,AvgEfficacy-Blocking,AvgEfficacy-Killing,AvgEfficacy-Usage,AvgEfficacy-AcquisitionBlocking,AvgEfficacy-TransmissionBlocking,AvgEfficacy-MortalityBlocking,DrugConcentration
122,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.115762
122,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
122,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.112184
122,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
122,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.113188
122,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
123,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.10437
123,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
123,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.108296
123,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
123,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.104949
123,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
123,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.105888
123,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
124,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0976389
124,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
124,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.101312
124,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
124,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0981803
124,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
124,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.099059
124,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
125,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0913422
125,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
125,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0947781
125,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
125,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0918486
125,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
125,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0926706
125,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
126,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0854509
126,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
126,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0886652
126,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
126,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0859247
126,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
126,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0866937
126,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
