Time,NodeID,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever,NumHasClinicalSymptoms
216,16,0,0,0,0,0,0,0,0,0,0,0
216,15,0,0,0,0,0,0,0,0,0,0,0
216,14,3,0,0,0,0,0,0,0,0,0,0
216,13,3,0,0,0,0,0,0,0,0,0,0
216,12,1,0,0,0,0,0,0,0,0,0,0
216,11,1,0,0,0,0,0,0,0,0,0,0
216,10,6,0,0,0,0,0,0,0,0,0,0
216,9,1,0,0,0,0,0,0,0,0,0,0
216,8,3,0,0,0,0,0,0,0,0,0,0
216,7,13,0,0,0,0,0,0,0,0,0,0
216,6,0,0,0,0,0,0,0,0,0,0,0
216,5,0,0,0,0,0,0,0,0,0,0,0
216,4,3,0,0,0,0,0,0,0,0,0,0
216,3,6,0,0,0,0,0,0,0,0,0,0
216,2,2,0,0,0,0,0,0,0,0,0,0
216,1,13,0,0,0,0,0,0,0,0,0,0
217,100,182,0,0,0,0,0,0,0,0,0,0
217,99,0,0,0,0,0,0,0,0,0,0,0
217,98,0,0,0,0,0,0,0,0,0,0,0
217,97,0,0,0,0,0,0,0,0,0,0,0
217,96,4,0,0,0,0,0,0,0,0,0,0
217,95,5,0,0,0,0,0,0,0,0,0,0
217,94,3,0,0,0,0,0,0,0,0,0,0
217,93,4,0,0,0,0,0,0,0,0,0,0
217,92,1,0,0,0,0,0,0,0,0,0,0
217,91,12,0,0,0,0,0,0,0,0,0,0
217,90,0,0,0,0,0,0,0,0,0,0,0
217,89,0,0,0,0,0,0,0,0,0,0,0
217,88,0,0,0,0,0,0,0,0,0,0,0
217,87,0,0,0,0,0,0,0,0,0,0,0
217,86,5,0,0,0,0,0,0,0,0,0,0
217,85,6,0,0,0,0,0,0,0,0,0,0
217,84,4,0,0,0,0,0,0,0,0,0,0
217,83,2,0,0,0,0,0,0,0,0,0,0
217,82,1,0,0,0,0,0,0,0,0,0,0
217,81,14,0,0,0,0,0,0,0,0,0,0
217,80,0,0,0,0,0,0,0,0,0,0,0
217,79,0,0,0,0,0,0,0,0,0,0,0
217,78,0,0,0,0,0,0,0,0,0,0,0
217,77,0,0,0,0,0,0,0,0,0,0,0
217,76,3,0,0,0,0,0,0,0,0,0,0
217,75,4,4,0,7097.61,0,0.0166667,1,0,0,4,4
217,74,5,1,0,1778.32,0,0.00333333,1,0,0,1,1
217,73,5,0,0,0,0,0,0,0,0,0,0
217,72,0,0,0,0,0,0,0,0,0,0,0
217,71,13,0,0,0,0,0,0,0,0,0,0
217,70,0,0,0,0,0,0,0,0,0,0,0
217,69,0,0,0,0,0,0,0,0,0,0,0
217,68,0,0,0,0,0,0,0,0,0,0,0
217,67,0,0,0,0,0,0,0,0,0,0,0
217,66,0,0,0,0,0,0,0,0,0,0,0
217,65,4,0,0,0,0,0,0,0,0,0,0
217,64,5,0,0,0,0,0,0,0,0,0,0
217,63,3,0,0,0,0,0,0,0,0,0,0
217,62,1,0,0,0,0,0,0,0,0,0,0
217,61,12,0,0,0,0,0,0,0,0,0,0
217,60,11,0,0,0,0,0,0,0,0,0,0
217,59,14,0,0,0,0,0,0,0,0,0,0
217,58,14,0,0,0,0,0,0,0,0,0,0
217,57,13,0,0,0,0,0,0,0,0,0,0
217,56,0,0,0,0,0,0,0,0,0,0,0
