Year, NodeId, Gender, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Persistant_ART),Stopped_Using_ART
1961.42,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,0,0,320,320,437,0,126,119,0,0,0,0,0,0,0
1961.42,1,0,1,0,15,268,268,270,0,3,2,0,0,0,0,0,0,0
1961.42,1,0,1,0,30,193,193,187,0,1,0,0,0,0,0,0,0,0
1961.42,1,0,1,0,45,93,93,95,0,3,0,0,0,0,0,0,0,0
1961.42,1,0,1,0,60,70,70,68,0,2,0,0,0,0,0,0,0,0
1961.42,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,0,0,1880,0,0,0,13,0,0,0,0,0,0,0,0
1961.42,1,1,0,0,15,942,0,0,0,2,0,0,0,0,0,0,0,0
1961.42,1,1,0,0,30,774,0,0,0,3,0,0,0,0,0,0,0,0
1961.42,1,1,0,0,45,486,0,0,0,6,0,0,0,0,0,0,0,0
1961.42,1,1,0,0,60,275,0,0,0,7,0,0,0,0,0,0,0,0
1961.42,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,0,0,5,5,7,0,1,1,0,0,0,0,0,0,0
1961.42,1,1,1,0,15,166,166,167,0,1,0,0,0,0,0,0,0,0
1961.42,1,1,1,0,30,24,24,23,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,0,45,3,3,3,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,0,60,1,1,1,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,0,0,1525,0,0,0,7,0,0,0,0,0,0,0,0
1961.92,1,0,0,0,15,879,0,0,0,1,0,0,0,0,0,0,0,0
1961.92,1,0,0,0,30,569,0,0,0,2,0,0,0,0,0,0,0,0
1961.92,1,0,0,0,45,352,0,0,0,9,0,0,0,0,0,0,0,0
1961.92,1,0,0,0,60,196,0,0,0,9,0,0,0,0,0,0,0,0
1961.92,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,0,0,234,234,2,0,66,63,0,0,0,0,0,0,0
1961.92,1,0,1,0,15,270,270,2,0,4,4,0,0,0,0,0,0,0
1961.92,1,0,1,0,30,192,192,0,0,1,0,0,0,0,0,0,0,0
1961.92,1,0,1,0,45,93,93,0,0,3,2,0,0,0,0,0,0,0
1961.92,1,0,1,0,60,66,66,0,0,7,0,0,0,0,0,0,0,0
1961.92,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,0,0,1926,0,0,0,6,0,0,0,0,0,0,0,0
1961.92,1,1,0,0,15,947,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,0,30,779,0,0,0,2,0,0,0,0,0,0,0,0
1961.92,1,1,0,0,45,488,0,0,0,8,0,0,0,0,0,0,0,0
1961.92,1,1,0,0,60,274,0,0,0,13,0,0,0,0,0,0,0,0
1961.92,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,0,0,4,4,4,0,3,2,0,0,0,0,0,0,0
1961.92,1,1,1,0,15,171,171,8,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,0,30,33,33,4,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,0,45,4,4,1,0,0,0,0,0,0,0,0,0,0
