Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
37,340461476,1005,7685,9,348,7328,10340,14406,260999,284640,142320,1372,0,600,0,743,0,758,128,62,7496.98,1291.71,8218.75,0.0929981,0.0860686,0.0868076,0,0,0
38,340461476,1005,8277,19,346,7912,10845,10039,253384,311680,155840,1681,2,459,0,1536,0,752,150,42,20758,1957.65,23703.9,0.0600142,0.0749252,0.0576835,2,0,2
39,340461476,1005,7548,25,383,7140,10236,13223,270442,537560,268780,3150,5,727,0,410,0,804,273,62,33270.1,3215.83,36907.8,0.158265,0.129818,0.143278,5,7,-2
40,340461476,1005,7300,33,369,6898,9872,10603,317654,271640,135820,1174,3,494,0,663,0,742,108,61,12593.5,1662.31,13887.7,0.179567,0.114524,0.113843,3,2,1
41,340461476,1005,9170,69,326,8775,11742,12006,307141,302960,151480,1605,9,430,2,2767,0,697,158,42,1845.31,1618.09,2062.8,0.0763614,0.138065,0.14668,11,6,5
42,340461476,1005,7856,61,393,7402,10642,13443,280954,550240,275120,4045,16,1005,2,0,0,816,388,110,21951,2195.64,24384.1,0.0141642,0.0981851,0.0132061,18,25,-7
43,340461476,1005,8653,65,366,8222,11284,9253,302065,230000,115000,778,6,318,0,1668,0,763,75,33,9914.16,1791.5,11064.2,0.106496,0.07898,0.0770868,6,7,-1
44,340461476,1005,7514,64,382,7068,10262,10680,293145,284920,142460,2202,8,600,2,0,0,865,218,56,40787.6,3516.67,45063,0.0742078,0.151309,0.130844,10,15,-5
45,340461476,1005,9059,63,399,8597,11999,10821,347949,695320,347660,2627,11,703,6,2601,0,728,250,78,1933.86,1546.92,2430.95,0.33258,0.199357,0.311553,17,20,-3
46,340461476,1005,8801,100,384,8317,11777,20959,307653,153800,76900,2222,9,759,1,876,0,832,213,89,17946.1,2339.05,20681.6,0.00688696,0.0551682,0.00628998,10,7,3
47,340461476,1005,7824,95,381,7348,10786,31970,305781,391560,195780,2081,11,567,0,144,0,842,217,62,18240.5,2559.2,19586.7,0.202735,0.273254,0.364626,11,11,0
