Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
30,7,PFA_NoPartnerFound,3172,15088.6,M,1,0,1,16531.3,0,T
30,7,PFA_NoPartnerFound,3186,10858.5,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,3193,1793.24,F,1,0,1,27964.4,0,F
30,7,PFA_NoPartnerFound,3214,689.267,M,1,0,1,31932.3,0,F
30,7,PFA_NoPartnerFound,3235,7170.25,F,1,0,1,18373.4,0,T
30,7,PFA_NoPartnerFound,3242,10047.5,M,1,0,1,15000,0,T
30,7,PFA_NoPartnerFound,3249,3568.19,F,1,0,1,22196.9,0,F
30,7,PFA_NoPartnerFound,3270,8670.2,F,1,0,1,15000,0,T
30,7,PFA_NoPartnerFound,3277,6284.9,F,1,0,1,16622.8,0,T
30,7,PFA_NoPartnerFound,3298,17974.6,M,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,3312,1597.95,F,1,0,1,27816.9,0,F
30,7,PFA_NoPartnerFound,3319,23029.8,F,1,0,1,18150,0,T
30,7,PFA_NoPartnerFound,3326,5550.2,M,1,0,1,20913.2,0,T
30,7,PFA_NoPartnerFound,3340,2775.3,F,1,0,1,20914.7,0,F
30,7,PFA_NoPartnerFound,3382,17974.2,F,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,3389,22054.3,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,3410,2486.77,M,1,0,1,22702.8,0,F
30,7,PFA_NoPartnerFound,3424,10175.8,M,1,0,1,13560.1,0,T
30,7,PFA_NoPartnerFound,3473,262.384,F,1,0,1,34562.1,0,F
30,7,PFA_NoPartnerFound,3494,3714.98,M,1,0,1,18661.1,0,F
30,7,PFA_NoPartnerFound,3536,9276.79,F,1,0,1,18150,0,T
30,7,PFA_NoPartnerFound,3543,7773.85,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,3557,8553.1,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,3620,700.592,F,1,0,1,27661.5,0,F
30,7,PFA_NoPartnerFound,3676,988.824,F,1,0,1,30218.8,0,F
30,7,PFA_NoPartnerFound,3690,12598.3,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,3704,7827.7,M,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,3718,6689.42,M,1,0,1,19376.7,0,T
30,7,PFA_NoPartnerFound,3739,9906.85,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,3760,11424.4,M,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,3781,10315.6,M,1,0,1,16531.3,0,T
30,7,PFA_NoPartnerFound,3802,5529.4,M,1,0,1,20967.5,0,T
30,7,PFA_NoPartnerFound,3823,33842.5,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,3830,19455.7,F,1,0,1,13559.8,0,T
30,7,PFA_NoPartnerFound,3844,3065.63,M,1,0,1,24968,0,F
30,7,PFA_NoPartnerFound,3879,9802.31,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,3900,1863.46,M,1,0,1,24462.4,0,F
30,7,PFA_NoPartnerFound,3935,6275.12,M,1,0,1,20277.4,0,T
30,7,PFA_NoPartnerFound,3942,990.431,F,1,0,1,30201.9,0,F
30,7,PFA_NoPartnerFound,3963,2348.72,F,1,0,1,26451.1,0,F
30,7,PFA_NoPartnerFound,4005,10764,F,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,4019,27705.7,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,4026,1951.04,M,1,0,1,23974.1,0,F
30,7,PFA_NoPartnerFound,4033,96.5896,F,1,0,1,34550.6,0,F
30,7,PFA_NoPartnerFound,4054,5640.11,M,1,0,1,20680.7,0,T
30,7,PFA_NoPartnerFound,4061,10525,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,4068,7177.55,M,1,0,1,18360.2,0,T
