Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine48),Vaccinated
1960.5,1,0,0,29,133,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,117,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,101,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,101,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,121,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,102,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,109,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,95,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,89,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,87,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,102,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,91,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,41,92,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,42,73,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,43,92,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,44,90,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,45,83,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,46,85,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,47,75,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,48,80,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,49,82,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,50,57,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,51,57,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,52,56,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,53,60,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,54,53,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,55,57,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,56,60,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,57,41,0,0,0,3,0,0,0,0,0,0,0,0
1960.5,1,0,0,58,48,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,59,44,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,60,41,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,61,31,0,0,0,3,0,0,0,0,0,0,0,0
1960.5,1,0,0,62,32,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,63,32,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,64,33,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,65,40,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,66,18,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,67,29,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,68,32,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,69,29,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,70,22,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,71,19,0,0,0,3,0,0,0,0,0,0,0,0
1960.5,1,0,0,72,22,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,73,19,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,74,13,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,75,21,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,76,9,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,77,7,0,0,0,1,0,0,0,0,0,0,0,0
