Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
2,5,14,43,0,0,43,39,0,2319,3000,1500,12,0,3,0,0,0,5,0,0,3565.02,82.5299,183.446,1,0.226894,0.0687137,0,0,0
2,4,3,41,0,0,41,37,0,2331,3200,1600,16,0,0,0,0,0,12,0,0,3571.02,85.5299,162.446,1,0.132929,0.0842693,0,0,0
2,3,1,80,0,0,80,68,0,3775,5400,2700,27,0,0,0,0,0,7,0,0,2095.02,84.5299,195.446,1,0.0259848,0.089178,0,0,0
2,2,9,63,0,0,63,78,0,3775,4000,2000,20,0,2,0,0,0,7,0,0,2098.02,93.5299,183.446,1,0.0796969,0.0442282,0,0,0
2,1,5,69,0,0,69,72,0,3498,5000,2500,20,0,4,0,0,0,8,0,0,2403.02,76.5299,172.446,1,0.0343097,0.054452,0,0,0
3,26,20,658,0,0,658,631,0,5731,2000,1000,9,0,1,0,0,0,70,0,0,1509.41,101.575,188.267,0.124835,0.00577905,0.00792601,0,0,0
3,25,2,60,0,0,60,61,0,4735,4600,2300,19,0,2,0,0,0,10,0,0,2519.41,103.575,172.267,1,0.100662,0.119604,0,0,0
3,24,10,85,0,0,85,71,0,5501,4200,2100,17,0,3,0,0,0,1,0,0,1760.41,84.5746,184.267,1,0.0486277,0.0518154,0,0,0
3,23,15,105,0,0,105,126,0,5678,5400,2700,26,0,6,0,0,0,14,0,0,1570.41,99.5746,182.267,0.503005,0.0301766,0.0508154,0,0,0
3,22,0,215,0,0,215,190,0,5758,1400,700,0,0,0,0,0,0,26,0,0,1493.41,109.575,169.267,0.281484,0.0212568,0.0314562,0,0,0
3,21,0,224,0,0,224,231,0,5687,1600,800,0,0,0,0,0,0,31,0,0,1574.41,96.5746,172.267,0.311308,0.018106,0.0212429,0,0,0
3,20,10,64,0,0,64,64,0,5630,4000,2000,14,0,3,0,0,0,6,0,0,1670.41,70.5746,159.267,1,0.0560928,0.0980256,0,0,0
