Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
54,847,936.608,0,F,1,1,3,0,0,44.9254,31,1,1,0,0,0,2,1,0,0,0,0,76,0,1,32.5241,52,1,1,0,0,0,2,1,0,0,0,0
55,861,1658.13,0,F,1,1,51,0,0,48.5051,33,1,1,0,0,0,2,1,0,0,0,0,77,0,1,18.865,33,1,1,0,0,0,2,1,0,0,0,0
56,896,1169.94,0,F,1,1,5,0,0,51.3188,0,1,1,0,0,0,1,1,0,0,0,0,9,0,1,46.8081,93,1,1,0,0,0,2,1,0,0,0,0
57,910,1321.69,1,F,1,1,62,0,0,26.0171,109,1,0,1,0,0,3,1,0,0,0,0,69,0,1,21.8471,26,1,0,1,0,0,3,1,0,0,0,0
58,924,961.573,0,F,1,1,34,0,0,18.1847,0,1,1,0,0,0,1,1,0,0,0,0,99,0,1,30.4053,101,1,1,0,0,0,3,1,0,0,0,0
59,924,1166.15,0,F,1,1,81,0,0,34.0142,281,1,1,0,0,0,2,1,0,0,0,0,46,0,1,45.5833,51,1,1,0,0,0,2,1,0,0,0,0
60,952,1220.74,1,F,1,1,85,0,0,33.5494,128,1,0,1,0,0,2,1,0,0,0,0,6,0,1,19.8472,12,1,0,1,0,0,2,1,0,0,0,0
61,959,1504.09,1,F,1,1,4,0,0,33.7787,37,1,0,1,0,0,2,1,0,0,0,0,14,0,1,31.0553,207,1,0,1,0,0,3,1,0,0,0,0
62,966,1172.05,0,F,1,1,80,0,0,52.0307,55,1,1,0,0,0,3,1,0,0,0,0,84,0,1,28.3988,121,1,1,0,0,0,2,1,0,0,0,0
63,973,3698.89,2,F,1,1,98,0,0,26.7095,189,1,0,0,1,0,3,1,0,0,0,0,61,0,1,32.4842,0,1,0,0,1,0,1,1,0,0,0,0
64,980,1268.92,0,F,1,1,38,0,0,33.6003,177,1,1,0,0,0,2,1,0,0,0,0,95,0,1,16.6681,43,1,1,0,0,0,2,1,0,0,0,0
65,994,1341.58,0,F,1,1,28,0,0,39.6577,76,1,1,0,0,0,3,1,0,0,0,0,65,0,1,40.5016,177,1,1,0,0,0,2,1,0,0,0,0
66,1029,5373.19,2,F,1,1,63,0,0,20.9337,180,1,0,0,1,0,3,1,0,0,0,0,22,0,1,45.0268,46,1,0,0,1,0,3,1,0,0,0,0
67,1085,1302.65,0,F,1,1,47,0,0,38.8956,46,1,1,0,0,0,2,1,0,0,0,0,66,0,1,28.2194,165,1,1,0,0,0,3,1,0,0,0,0
68,1085,1327.41,1,F,1,1,55,0,0,18.0742,0,1,0,1,0,0,1,1,0,0,0,0,93,0,1,33.2988,276,1,0,1,0,0,3,1,0,0,0,0
69,1106,1303.7,0,F,1,1,44,0,0,27.9717,70,1,1,0,0,0,2,1,0,0,0,0,94,0,1,26.9418,270,1,1,0,0,0,2,1,0,0,0,0
70,1190,1521.32,0,F,1,1,68,0,0,21.2894,224,1,1,0,0,0,3,1,0,0,0,0,100,0,1,15.9478,0,1,1,0,0,0,1,1,0,0,0,0
71,1281,1305.08,0,F,1,1,12,0,0,36.4833,79,1,1,0,0,0,2,1,0,0,0,0,13,0,1,44.0095,225,1,1,0,0,0,3,1,0,0,0,0
72,1295,1924.03,1,F,1,1,56,0,0,30.525,162,1,0,1,0,0,3,1,0,0,0,0,11,0,1,51.4855,281,1,0,1,0,0,2,1,0,0,0,0
73,1309,1695,1,F,1,1,34,0,0,19.2395,11,1,0,1,0,0,2,1,0,0,0,0,99,0,1,31.4601,112,1,0,1,0,0,4,1,0,0,0,0
74,1316,1904.67,0,F,1,1,81,0,0,35.0882,381,1,1,0,0,0,3,1,0,0,0,0,7,0,1,46.172,28,1,1,0,0,0,2,1,0,0,0,0
75,1337,1828.52,1,F,1,1,20,0,0,41.8152,270,1,0,1,0,0,2,1,0,0,0,0,82,0,1,25.4662,101,1,0,1,0,0,2,1,0,0,0,0
76,1337,1885.9,1,F,1,1,21,0,0,28.8658,183,1,0,1,0,0,2,1,0,0,0,0,90,0,1,37.2492,135,1,0,1,0,0,3,1,0,0,0,0
77,1358,1501.76,0,F,1,1,97,0,0,31.4226,417,1,1,0,0,0,2,1,0,0,0,0,43,0,1,27.9162,190,1,1,0,0,0,2,1,0,0,0,0
78,1379,1545.25,0,F,1,1,45,0,0,41.8239,264,1,1,0,0,0,2,1,0,0,0,0,96,0,1,31.3135,170,1,1,0,0,0,3,1,0,0,0,0
79,1393,1807.97,0,F,1,1,8,0,0,42.8997,93,1,1,0,0,0,2,1,0,0,0,0,84,0,1,29.5687,175,1,1,0,0,0,3,1,0,0,0,0
80,1428,2066.48,1,F,1,1,28,0,0,40.8467,204,1,0,1,0,0,4,1,0,0,0,0,6,0,1,21.1513,107,1,0,1,0,0,3,1,0,0,0,0
81,1435,1695.67,0,F,1,1,52,0,0,27.1899,87,1,1,0,0,0,4,1,0,0,0,0,94,0,1,27.8432,335,1,1,0,0,0,3,1,0,0,0,0
82,1449,2171.73,0,F,1,1,101,0,0,38.5277,263,1,1,0,0,0,2,1,0,0,0,0,66,0,1,29.2167,239,1,1,0,0,0,4,1,0,0,0,0
83,1456,1620.73,0,F,1,1,80,0,0,53.3731,109,1,1,0,0,0,4,1,0,0,0,0,67,0,1,22.8508,224,1,1,0,0,0,3,1,0,0,0,0
84,1505,1910.53,0,F,1,1,4,0,0,35.2746,223,1,1,0,0,0,3,1,0,0,0,0,65,0,1,41.9016,305,1,1,0,0,0,3,1,0,0,0,0
85,1519,2468.39,1,F,1,1,91,0,0,46.7171,343,1,0,1,0,0,2,1,0,0,0,0,9,0,1,48.5149,182,1,0,1,0,0,3,1,0,0,0,0
86,1526,2545.13,0,F,1,1,5,0,0,53.0448,89,1,1,0,0,0,2,1,0,0,0,0,36,0,1,27.0853,404,1,1,0,0,0,3,1,0,0,0,0
87,1526,1649.32,0,F,1,1,71,0,0,54.902,307,1,1,0,0,0,2,1,0,0,0,0,39,0,1,32.1988,369,1,1,0,0,0,3,1,0,0,0,0
88,1540,2057.18,0,F,1,1,44,0,0,29.1607,135,1,1,0,0,0,3,1,0,0,0,0,69,0,1,23.5732,136,1,1,0,0,0,4,1,0,0,0,0
89,1554,1606.77,0,F,1,1,62,0,0,27.7815,219,1,1,0,0,0,4,1,0,0,0,0,27,0,1,16.7181,0,1,1,0,0,0,1,1,0,0,0,0
90,1561,1901.74,0,F,1,1,47,0,0,40.1997,120,1,1,0,0,0,3,1,0,0,0,0,49,0,1,23.9693,267,1,1,0,0,0,3,1,0,0,0,0
91,1603,1811.18,1,F,1,1,89,0,0,54.673,482,1,0,1,0,0,2,1,0,0,0,0,13,0,1,44.8917,233,1,0,1,0,0,4,1,0,0,0,0
92,1666,1931.17,0,F,1,1,2,0,0,51.9244,171,1,1,0,0,0,3,1,0,0,0,0,96,0,1,32.0998,219,1,1,0,0,0,4,1,0,0,0,0
93,1673,2147.41,0,F,1,1,12,0,0,37.5573,87,1,1,0,0,0,3,1,0,0,0,0,87,0,1,49.7973,379,1,1,0,0,0,3,1,0,0,0,0
94,1694,1807.85,0,F,1,1,26,0,0,20.4328,39,1,1,0,0,0,3,1,0,0,0,0,27,0,1,17.1017,15,1,1,0,0,0,2,2,0,0,0,0
95,1708,2048.46,0,F,1,1,38,0,0,35.5948,261,1,1,0,0,0,3,1,0,0,0,0,67,0,1,23.5412,296,1,1,0,0,0,4,1,0,0,0,0
