Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
33,340461476,X-a1:X-a1,1502,0,0,1502,1580,19867,36750,0,0,0,0,0
33,340461476,X-a1:X-a2,1635,0,0,1635,1573,18774,34350,0,0,0,0,0
33,340461476,X-a2:X-a1,1624,0,0,1624,1515,19302,38900,0,0,0,0,0
33,340461476,X-a2:X-a2,1626,0,0,1626,1564,19123,38700,0,0,0,0,0
34,340461476,X-a1:X-a1,1570,0,0,1570,1678,19885,32325,0,0,0,0,0
34,340461476,X-a1:X-a2,1757,0,0,1757,1587,18862,30225,0,0,0,0,0
34,340461476,X-a2:X-a1,1667,0,0,1667,1604,19597,31575,0,0,0,0,0
34,340461476,X-a2:X-a2,1632,0,0,1632,1694,19402,32475,0,0,0,0,0
35,340461476,X-a1:X-a1,1677,0,0,1677,1711,20129,35325,0,0,0,0,0
35,340461476,X-a1:X-a2,1785,0,0,1785,1680,19026,35475,0,0,0,0,0
35,340461476,X-a2:X-a1,1710,0,0,1710,1657,19861,35125,0,0,0,0,0
35,340461476,X-a2:X-a2,1755,0,0,1755,1700,19611,34275,0,0,0,0,0
36,340461476,X-a1:X-a1,1797,0,0,1797,1749,20261,40325,0,0,0,0,0
36,340461476,X-a1:X-a2,1918,0,0,1918,1633,19402,38775,0,0,0,0,0
36,340461476,X-a2:X-a1,1839,0,0,1839,1653,20002,43725,0,0,0,0,0
36,340461476,X-a2:X-a2,1924,0,0,1924,1577,19772,44375,0,0,0,0,0
37,340461476,X-a1:X-a1,1886,0,0,1886,1720,20332,36550,0,0,0,0,0
37,340461476,X-a1:X-a2,1965,0,0,1965,1617,19596,36250,0,0,0,0,0
37,340461476,X-a2:X-a1,1881,0,0,1881,1655,20293,35250,0,0,0,0,0
37,340461476,X-a2:X-a2,1915,0,0,1915,1737,20095,36550,0,0,0,0,0
38,340461476,X-a1:X-a1,1978,0,0,1978,1716,20492,40550,0,0,0,0,0
38,340461476,X-a1:X-a2,2037,0,0,2037,1722,19611,41400,0,0,0,0,0
38,340461476,X-a2:X-a1,1965,0,0,1965,1585,20487,39550,0,0,0,0,0
38,340461476,X-a2:X-a2,2007,0,0,2007,1762,20265,40200,0,0,0,0,0
39,340461476,X-a1:X-a1,2038,0,0,2038,1812,20786,42550,0,0,0,0,0
39,340461476,X-a1:X-a2,2104,0,0,2104,1727,20119,41750,0,0,0,0,0
39,340461476,X-a2:X-a1,1999,0,0,1999,1657,20524,44550,0,0,0,0,0
39,340461476,X-a2:X-a2,2104,0,0,2104,1673,20529,48850,0,0,0,0,0
40,340461476,X-a1:X-a1,2129,0,0,2129,1778,20664,44350,0,0,0,0,0
40,340461476,X-a1:X-a2,2130,0,0,2130,1749,20108,45250,0,0,0,0,0
40,340461476,X-a2:X-a1,2070,0,0,2070,1623,20610,47250,0,0,0,0,0
40,340461476,X-a2:X-a2,2146,0,0,2146,1753,20886,47850,0,0,0,0,0
41,340461476,X-a1:X-a1,2159,0,0,2159,1819,20717,47000,0,0,0,0,0
41,340461476,X-a1:X-a2,2142,0,0,2142,1855,20275,47500,0,0,0,0,0
41,340461476,X-a2:X-a1,2101,0,0,2101,1612,20998,42050,0,0,0,0,0
41,340461476,X-a2:X-a2,2266,0,0,2266,1707,21123,43650,0,0,0,0,0
42,340461476,X-a1:X-a1,2189,0,0,2189,1878,20977,49100,0,0,0,0,0
42,340461476,X-a1:X-a2,2278,0,0,2278,1755,20717,47450,0,0,0,0,0
42,340461476,X-a2:X-a1,2109,0,0,2109,1745,20781,50900,0,0,0,0,0
42,340461476,X-a2:X-a2,2330,0,0,2330,1616,21251,54750,0,0,0,0,0
43,340461476,X-a1:X-a1,2292,0,0,2292,1871,21108,48100,0,0,0,0,0
43,340461476,X-a1:X-a2,2322,0,0,2322,1727,20738,47000,0,0,0,0,0
43,340461476,X-a2:X-a1,2188,0,0,2188,1732,21061,52300,0,0,0,0,0
43,340461476,X-a2:X-a2,2299,0,0,2299,1736,21584,49700,0,0,0,0,0
44,340461476,X-a1:X-a1,2326,0,0,2326,1904,21118,53125,0,0,0,0,0
44,340461476,X-a1:X-a2,2363,0,0,2363,1772,20688,52825,0,0,0,0,0
44,340461476,X-a2:X-a1,2211,0,0,2211,1755,21346,49125,0,0,0,0,0
44,340461476,X-a2:X-a2,2363,0,0,2363,1770,21664,47625,0,0,0,0,0
45,340461476,X-a1:X-a1,2385,0,0,2385,1894,21524,50650,0,0,0,0,0
45,340461476,X-a1:X-a2,2421,0,0,2421,1717,21045,49800,0,0,0,0,0
45,340461476,X-a2:X-a1,2215,0,0,2215,1870,21363,55100,0,0,0,0,0
