node_id,acquireTime,acquireIndividualId,acquireIndividualAgeDays,acquireIndividualHasFever,acquireInfectionIds,concurrentInfectionIds,vectorId,transmitTime,transmitIndividualId,transmitInfectionIds,transmitGametocyteDensities
2,223,11,29367.3,0,"1366","304,390,462,484,540,598,1124,1152,1240",196063,205,51,"88,112,244,286,316,342,396,470,568,616","15.262,15.8555,16.6358,48.8482,5.09739,30.2579,32.7357,21.0788,730.074,1.84818"
2,223,13,8249.56,0,"1368","414,486,512,562,1154,1242,1278",196851,205,93,"54,164,228,262,358,384,404,536,560,574","9.7829,29.9703,35.714,53.608,95.1547,17.3818,276.258,256.169,746.913,1080.55"
2,223,37,8081.17,0,"1370","420,580,590,954,1018,1160,1190,1250,1306",196853,205,81,"158,222,258,296,352,400,434,456,530,554","32.865,42.3619,47.4099,60.6758,27.9456,37.4138,111.65,209.682,56.0347,68.9547"
2,223,29,16309.9,0,"1372","446,546,592,1046,1084,1102,1164,1310,1334",189805,205,99,"66,82,208,282,428,496,522,566,582,620","13.1123,13.6975,46.844,80.4066,293.593,412.493,775.386,516.682,157.258,18.8909"
2,223,43,11433.8,0,"1374","468,494,1030,1052,1168,1254,1284,1312,1336",189917,199,63,"70,116,125,300,386,406,502,538,576,608","81.4755,97.4736,240.945,38.7817,393.51,640.839,66.9471,1824.8,1304.01,1.22106"
2,223,47,3021,0,"1376","614,1054,1130,1170,1194,1286,1338",189805,205,99,"66,82,208,282,428,496,522,566,582,620","13.1123,13.6975,46.844,80.4066,293.593,412.493,775.386,516.682,157.258,18.8909"
2,223,81,23993,0,"1378","296,400,434,456,530,554,1354",193425,202,19,"38,48,94,122,156,184,218,256,294,318","12.5414,16.9447,22.8786,15.5428,60.3222,47.0886,19.1486,80.3166,131.244,13.6404"
2,223,21,13541.3,0,"1380","354,402,532,556,1142,1182,1268,1294",196731,205,51,"88,112,244,286,316,342,396,470,568,616","15.262,15.8555,16.6358,48.8482,5.09739,30.2579,32.7357,21.0788,730.074,1.84818"
2,223,101,4739.61,0,"1382","382,480,1010,1068,1146,1208,1232,1272,1296",196123,205,85,"56,102,166,232,264,302,324,360,388,508","13.3474,16.0244,22.5936,11.8772,37.2872,9.57067,99.9574,7.55229,38.7362,474.651"
2,223,93,18725.8,0,"1384","536,560,574,1072,1210,1234,1298,1322,1358",196201,205,25,"40,144,170,200,332,366,442,464,544,632","5.07369,4.21232,8.94754,22.0066,52.8365,20.2951,87.9223,75.2886,396.932,0.225517"
2,223,63,2572.19,0,"1386","406,538,576,608,1116,1150,1184,1212,1360",193425,202,19,"38,48,94,122,156,184,218,256,294,318","12.5414,16.9447,22.8786,15.5428,60.3222,47.0886,19.1486,80.3166,131.244,13.6404"
