Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
25,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
25,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
25,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
25,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
25,1,Other,46323,59866,152759,1700,4170,2.39856
26,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
26,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
26,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
26,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
26,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
26,1,Other,53119,60311,122309,1364600,4764,2.86671
27,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
27,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
27,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
27,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
27,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
27,1,Other,58956,54614,1030264,597100,5676,3.19803
28,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
28,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
28,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
28,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
28,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
28,1,Other,64408,49051,952566,666500,6259,3.58252
29,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
29,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
29,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
29,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
29,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
29,1,Other,69204,43908,966102,1531900,6847,3.98101
30,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
30,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
30,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
30,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
30,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
30,1,Other,73527,34039,976223,1034440,7570,4.32483
31,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
31,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
31,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
